506	▁the	 the
529	▁of	 of
532	▁and	 and
531	▁to	 to
528	▁in	 in
563	▁is	 is
691	▁was	 was
573	▁for	 for
580	▁on	 on
659	▁are	 are
607	▁with	 with
901	▁they	 they
577	▁be	 be
657	▁at	 at
886	▁one	 one
735	▁have	 have
672	▁this	 this
699	▁from	 from
653	▁or	 or
1053	▁had	 had
684	▁by	 by
711	▁not	 not
840	▁but	 but
1144	▁what	 what
1070	▁some	 some
692	▁we	 we
740	▁can	 can
855	▁out	 out
1032	▁other	 other
964	▁were	 were
784	▁all	 all
993	▁there	 there
1056	▁when	 when
872	▁up	 up
1161	▁use	 use
822	▁your	 your
1217	▁how	 how
1176	▁said	 said
614	▁an	 an
1546	▁each	 each
1304	▁she	 she
837	▁which	 which
776	▁do	 do
910	▁their	 their
990	▁time	 time
768	▁if	 if
795	▁will	 will
1595	▁way	 way
1003	▁about	 about
1551	▁many	 many
1299	▁then	 then
1091	▁them	 them
1093	▁would	 would
4903	▁write	 write
1133	▁like	 like
834	▁so	 so
1239	▁these	 these
1116	▁her	 her
1440	▁long	 long
1386	▁make	 make
3210	▁thing	 thing
1460	▁see	 see
1515	▁him	 him
1156	▁two	 two
815	▁has	 has
1385	▁look	 look
919	▁more	 more
1719	▁day	 day
1451	▁could	 could
817	▁go	 go
2229	▁come	 come
1602	▁did	 did
1041	▁my	 my
5057	▁sound	 sound
951	▁no	 no
1346	▁most	 most
1548	▁number	 number
1015	▁who	 who
1024	▁over	 over
1281	▁know	 know
1813	▁water	 water
1082	▁than	 than
2246	▁call	 call
1171	▁first	 first
1331	▁people	 people
1149	▁may	 may
1679	▁down	 down
2678	▁side	 side
1010	▁been	 been
1492	▁now	 now
1586	▁find	 find
1027	▁any	 any
861	▁new	 new
981	▁work	 work
912	▁part	 part
1769	▁take	 take
974	▁get	 get
1977	▁place	 place
1603	▁made	 made
3892	▁live	 live
1298	▁where	 where
1308	▁after	 after
1063	▁back	 back
2268	▁little	 little
1186	▁only	 only
4886	▁round	 round
880	▁man	 man
1051	▁year	 year
3588	▁came	 came
1407	▁show	 show
1418	▁every	 every
1535	▁good	 good
786	▁me	 me
2583	▁give	 give
1023	▁our	 our
1208	▁under	 under
1463	▁name	 name
1401	▁very	 very
1343	▁through	 through
1164	▁just	 just
1183	▁form	 form
1623	▁much	 much
1822	▁great	 great
1751	▁think	 think
1879	▁say	 say
1601	▁help	 help
2708	▁low	 low
1757	▁line	 line
1680	▁before	 before
2490	▁turn	 turn
4400	▁cause	 cause
1638	▁same	 same
2689	▁mean	 mean
1335	▁differ	 differ
2827	▁move	 move
1447	▁right	 right
6938	▁boy	 boy
2255	▁old	 old
2311	▁too	 too
1677	▁does	 does
3442	▁tell	 tell
13315	▁sentence	 sentence
1076	▁set	 set
1806	▁three	 three
1461	▁want	 want
2634	▁air	 air
1388	▁well	 well
992	▁also	 also
1441	▁play	 play
1944	▁small	 small
1345	▁end	 end
2247	▁put	 put
2033	▁home	 home
1676	▁read	 read
1526	▁hand	 hand
2411	▁port	 port
2455	▁large	 large
25749	▁spell	 spell
1138	▁add	 add
1581	▁even	 even
2601	▁land	 land
1590	▁here	 here
1921	▁must	 must
2563	▁big	 big
1494	▁high	 high
1288	▁such	 such
1500	▁follow	 follow
1134	▁act	 act
3217	▁why	 why
2679	▁ask	 ask
1758	▁men	 men
2352	▁change	 change
3939	▁went	 went
2214	▁light	 light
2712	▁kind	 kind
1135	▁off	 off
1202	▁need	 need
3155	▁house	 house
6083	▁picture	 picture
2056	▁try	 try
775	▁us	 us
1570	▁again	 again
7626	▁animal	 animal
1523	▁point	 point
5946	▁mother	 mother
1902	▁world	 world
3541	▁near	 near
2016	▁build	 build
1265	▁self	 self
7764	▁earth	 earth
6353	▁father	 father
2228	▁head	 head
1975	▁stand	 stand
1852	▁own	 own
3104	▁page	 page
1374	▁should	 should
2891	▁country	 country
1765	▁found	 found
3890	▁answer	 answer
2528	▁school	 school
2171	▁grow	 grow
2748	▁study	 study
2036	▁still	 still
3449	▁learn	 learn
3732	▁plant	 plant
2890	▁cover	 cover
2780	▁food	 food
3768	▁sun	 sun
2390	▁four	 four
3305	▁thought	 thought
1531	▁let	 let
2514	▁keep	 keep
7068	▁eye	 eye
2752	▁never	 never
1774	▁last	 last
5232	▁door	 door
1534	▁between	 between
3207	▁city	 city
5028	▁tree	 tree
4071	▁cross	 cross
2338	▁since	 since
2651	▁hard	 hard
1502	▁start	 start
2473	▁might	 might
3925	▁story	 story
5004	▁saw	 saw
2793	▁far	 far
5442	▁sea	 sea
4988	▁draw	 draw
2378	▁left	 left
5226	▁late	 late
1845	▁run	 run
1651	▁while	 while
2686	▁press	 press
3107	▁close	 close
3446	▁night	 night
1759	▁real	 real
1972	▁life	 life
2321	▁few	 few
4721	▁stop	 stop
1932	▁open	 open
4483	▁seem	 seem
3075	▁together	 together
2148	▁next	 next
2173	▁white	 white
2940	▁children	 children
3654	▁begin	 begin
2506	▁got	 got
3727	▁walk	 walk
2591	▁example	 example
13358	▁ease	 ease
3627	▁paper	 paper
3187	▁often	 often
2462	▁always	 always
4252	▁music	 music
1800	▁both	 both
